franchise_name,franchise_email,contact_name,contact_title,franchise_inquiry_url,source_url,parent_company,category,email_confidence,notes
"Wild Wing","franchising@wildwingrestaurants.com","Franchise Team","Franchise Development","https://www.wildwingrestaurants.com/franchising/","https://www.wildwingrestaurants.com/franchising/","Wild Wing Hospitality Inc","Bar & Grill","VERIFIED — found on website","Ontario-born wing brand. Phone: (289) 319-2734 ext. 1. 80+ Canadian locations."
"Hero Certified Burgers","franchising@heroburgers.com","Franchise Team","Franchise Development","https://heroburgers.com/pages/franchise-inquiries","https://heroburgers.com/","Hero Certified Burgers Inc","Fast Food","VERIFIED — confirmed via web search","Ontario-only brand. Also: info@heroburgers.com for general. Phone: (416) 900-1414."
"Hellamaid","franchise@hellamaid.com","Franchise Team","Franchise Development","https://hellamaid.ca/franchise-opportunities/","https://hellamaid.ca/franchise-opportunities/","Hellamaid","Cleaning Services","VERIFIED — found on website","Also: info@hellamaid.com. Discovery call model. Responds within 2-3 business days."
"Freshii","franchise@freshii.com","Franchise Team","Franchise Development","https://www.freshii.com/ca/en/franchise","https://wetaskiwinmall.com/available-space/join-the-freshii-team/","Freshii Inc","Healthy Eating","VERIFIED — confirmed via web search","Fast-growing Canadian healthy QSR. 350+ global locations."
"Booster Juice","franchising@boosterjuice.com","Rick Botelho","Director, Real Estate & Franchise Development","https://boosterjuice.franconnect.net/fc/extforms/FranchisePartnerApplication","https://www.boosterjuice.com/pages/franchising","Booster Juice Ltd","Healthy Eating","VERIFIED — confirmed via web search","HQ: Edmonton AB. Eastern Canada office: Mississauga ON. Phone: (780) 440-6770 x 240."
"Cora Breakfast and Lunch","franchising@chezcora.com","Franchise Team","Franchise Development","https://www.corafranchise.com/","https://www.corafranchise.com/","Cora Franchise Inc","Bar & Grill","VERIFIED — found on website","Phone: 450-435-2426 / Toll Free: 1-888-435-2426. Strong Ontario presence."
"East Side Mario's","franchising@recipeunlimited.com","Franchise Team","Franchise Development","https://www.eastsidemarios.com/en/franchising.html","https://www.eastsidemarios.com/en/franchising.html","Recipe Unlimited Corporation","Bar & Grill","VERIFIED — found on website","Phone: 905-760-2244 ext. 2255. Also: 888-854-4402 ext. 2255."
"Kelsey's Restaurant","franchising@recipeunlimited.com","Franchise Team","Franchise Development","https://www.recipeunlimited.com/en/franchising/","https://www.recipeunlimited.com/en/franchising/","Recipe Unlimited Corporation","Bar & Grill","VERIFIED — parent company email","Same franchise team as East Side Mario's and Harvey's. Heavy Ontario presence."
"Harvey's","franchising@recipeunlimited.com","Franchise Team","Franchise Development","https://www.recipeunlimited.com/en/franchising/harveys.html","https://www.recipeunlimited.com/en/franchising/","Recipe Unlimited Corporation","Fast Food","VERIFIED — parent company email","Canadian burger chain. 300+ locations. Ontario is primary market."
"Thai Express","mty-franchising@mtygroup.com","Franchise Team","MTY Franchising","https://mtyfranchising.com/brands/thai-express/","https://mtyfranchising.com/brands/thai-express/","MTY Group","Fast Food","VERIFIED — found on website","MTY Group brand. 300+ Canadian locations. Form + email on inquiry page."
"Mucho Burrito","mty-franchising@mtygroup.com","Franchise Team","MTY Franchising","https://mtyfranchising.com/brands/mucho-burrito/","https://mtyfranchising.com/brands/mucho-burrito/","MTY Group","Fast Food","VERIFIED — found on website","MTY Group brand. Canadian burrito chain. Ontario heavy."
"Country Style","mty-franchising@mtygroup.com","Franchise Team","MTY Franchising","https://mtyfranchising.com/brands/country-style/","https://mtyfranchising.com/brands/country-style/","MTY Group","Coffee & Café","VERIFIED — parent company email","MTY Group brand. HQ: Richmond Hill ON. Phone: 1-866-891-6633."
"Turtle Jack's","info@turtlejacks.com","Kass Kassam","VP Non-Traditional Franchise Development","https://turtlejacks.com/franchising/","https://turtlejacks.com/franchising/","MTY Group","Bar & Grill","VERIFIED — found on website","Also: kkassam@mtygroup.com. West: ageorges@mtygroup.com. Ontario-born brand."
"Kumon Canada","franchisecanada@kumon.com","Franchise Team","Franchise Development Canada","https://www.kumon.com/ca-en/franchising/","https://www.kumonfranchise.com/ca-en/assets/pdfs/Franchisee%20Application%20Form.pdf","Kumon Institute of Education","Education","VERIFIED — found in official PDF","400+ Canadian centres. Email appears on official franchise application form PDF."
