franchise_name,contact_name,contact_email,franchise_inquiry_url,category,website,listing_id,current_tier,outreach_status,notes
"Chuck's Roadhouse","Franchise Director","franchising@chucksroadhouse.com","https://chucksroadhouse.com/franchise","Bar & Grill","https://chucksroadhouse.com","chucks-roadhouse","basic","ready","Already listed — upgrade outreach"
"Coffee Culture Cafe","Franchise Team","info@coffeeculture.ca","https://coffeeculture.ca/franchise","Coffee & Café","https://coffeeculture.ca","coffee-culture","basic","ready","Already listed — upgrade outreach"
"TURTLE JACK'S","Franchise Relations","info@turtlejacks.com","https://www.turtlejacks.com/franchise","Bar & Grill","https://www.turtlejacks.com","sourced-turtle-jack-s","basic","ready","Already listed — upgrade outreach"
"Firehouse Subs Canada","Franchise Development","franchise@firehousesubs.ca","https://www.firehousesubs.ca/franchise","Fast Food","https://www.firehousesubs.ca","sourced-firehouse-subs","basic","ready","Already listed — upgrade outreach"
"Pita Pit","Franchise Inquiries","franchise@pitapit.ca","https://pitapit.com/franchise","Fast Food","https://pitapit.ca","sourced-pita-pit","basic","ready","Already listed — upgrade outreach"
"Freshii","Franchise Team","hello@freshii.com","https://www.freshii.com/ca/en/franchise","Healthy Eating","https://freshii.com","sourced-freshii","basic","ready","Already listed — upgrade outreach"
"Cora Breakfast and Lunch","Franchise Director","franchising@chezcora.com","https://chezcora.com/en/franchise","Bar & Grill","https://chezcora.com","sourced-cora-breakfast-and-lunch","basic","ready","Already listed — upgrade outreach"
"Triple O's","Franchise Development","franchising@tripleo.ca","https://tripleo.ca/franchise","Fast Food","https://tripleo.ca","sourced-triple-o-s","basic","ready","Already listed — upgrade outreach"
"Jimmy the Greek","Franchise Relations","franchise@jimmythegreek.com","https://www.jimmythegreek.com/franchise","Fast Food","https://www.jimmythegreek.com","sourced-jimmy-the-greek-inc","basic","ready","Already listed — upgrade outreach"
"Smitty's Canada","Franchise Team","franchise@smittys.ca","https://www.smittys.ca/franchise","Bar & Grill","https://www.smittys.ca","sourced-smitty-s-canada-inc","basic","ready","Already listed — upgrade outreach"
"Boardwalk Fries Burgers Shakes","Franchise Director","info@boardwalkburgers.ca","https://www.boardwalkburgers.ca/franchise","Fast Food","https://www.boardwalkburgers.ca","sourced-boardwalk-fries-burgers-shakes","basic","ready","Already listed — upgrade outreach"
"Stacked Pancake and Breakfast House","Franchise Team","info@stackedpancakehouse.ca","https://www.stackedpancakehouse.ca/franchise","Bar & Grill","https://www.stackedpancakehouse.ca","sourced-stacked-pancake-and-breakfast-house","basic","ready","Already listed — upgrade outreach"
"Fix Auto","Franchise Development","franchise@fixauto.com","https://www.fixauto.com/en/franchise","Automotive","https://www.fixauto.com","sourced-fix-auto","basic","ready","Already listed — upgrade outreach"
"Speedy Auto Service","Franchise Relations","franchise@speedy.com","https://www.speedy.com/franchise","Automotive","https://www.speedy.com","sourced-speedy-auto-service","basic","ready","Already listed — upgrade outreach"
"ProColor Collision","Franchise Team","franchise@procolor.com","https://www.procolor.com/en-ca/franchise-opportunities","Automotive","https://www.procolor.com","sourced-procolor-collision","basic","ready","Already listed — upgrade outreach"
"NOVUS Glass","Franchise Director","franchise@novusglass.com","https://www.novusglass.com/franchise","Automotive","https://www.novusglass.com","sourced-novus-glass","basic","ready","Already listed — upgrade outreach"
"Hellamaid","Franchise Team","franchise@hellamaid.ca","https://hellamaid.ca/franchise-opportunities","Cleaning Services","https://hellamaid.ca","sourced-hellamaid","basic","ready","Already listed — upgrade outreach"
"Servus Group Canada","Franchise Relations","info@servuscleaning.com","https://www.servuscleaning.com/franchise","Home Services","Https://www.servuscleaning.com","sourced-servus-group-canada","basic","ready","Already listed — upgrade outreach"
"Maple Bear Global Schools","Franchise Director","franchise@maplebear.ca","https://www.maplebear.ca/franchise","Education","https://www.maplebear.ca","sourced-maple-bear-global-schools","basic","ready","Already listed — upgrade outreach"
"Bricks 4 Kidz","Franchise Team","canada@bricks4kidz.com","https://www.bricks4kidz.com/franchise","Children's Services","https://www.bricks4kidz.com","sourced-bricks-4-kidz","basic","ready","Already listed — upgrade outreach"
"Drama Kids Canada","Franchise Relations","info@dramakids.ca","https://www.dramakids.com/franchise","Children's Services","https://www.dramakids.ca","sourced-drama-kids-canada-inc","basic","ready","Already listed — upgrade outreach"
"Aloha Mental Arithmetic Canada","Franchise Director","info@alohacanada.ca","https://www.alohacanada.ca/franchise","Children's Services","https://www.alohacanada.ca","sourced-aloha-mental-arithmetic-canada","basic","ready","Already listed — upgrade outreach"
"House of Colour","Franchise Team","info@houseofcolourcanada.ca","https://www.houseofcolourcanada.ca/franchise","Beauty & Salon","https://www.houseofcolourcanada.ca","sourced-house-of-colour","basic","ready","Already listed — upgrade outreach"
"Fuzz Wax Bar","Franchise Relations","franchise@fuzzwaxbar.com","https://www.fuzzwaxbar.com/franchise","Beauty & Salon","https://www.fuzzwaxbar.com","sourced-fuzz","basic","ready","Already listed — upgrade outreach"
"Two Men and a Truck","Franchise Director","canada@twomenandatruck.com","https://www.twomenandatruck.ca/franchise","Home Services","https://www.twomenandatruck.ca","sourced-two-men-and-a-truck","basic","ready","Already listed — upgrade outreach"
"Innovative Fitness","Franchise Team","info@innovativefitness.com","https://www.innovativefitness.com/franchise","Fitness & Wellness","https://www.innovativefitness.com","sourced-innovative-fitness","basic","ready","Already listed — upgrade outreach"
"Phenix Salon Suites","Franchise Relations","franchise@phenixsalonsuites.com","https://www.phenixsalonsuites.com/franchise","Beauty & Salon","https://www.phenixsalonsuites.com","sourced-phenix-salon-suites","basic","ready","Already listed — upgrade outreach"
"Koala Insulation","Franchise Director","franchise@koalainsulation.com","https://www.koalainsulation.com/franchise","Home Services","https://www.koalainsulation.com","sourced-koala-insulation","basic","ready","Already listed — upgrade outreach"
"Window World Canada","Franchise Team","franchise@windowworld.com","https://www.windowworld.com/franchise","Home Services","https://www.windowworld.com","sourced-window-world","basic","ready","Already listed — upgrade outreach"
"OHC Renovations","Franchise Relations","info@ohcrenovations.ca","https://hq.ohcrenovations.ca/franchise","Home Services","https://hq.ohcrenovations.ca","sourced-ohc-renovations","basic","ready","Already listed — upgrade outreach"
"3 Brasseurs","Franchise Director","franchise@3brasseurs.ca","https://www.3brasseurs.ca/franchise","Bar & Grill","https://www.3brasseurs.ca","sourced-3-brasseurs","basic","ready","Already listed — upgrade outreach"
"Wing'n it Restaurants","Franchise Team","info@wingnit.ca","https://www.wingnit.ca/franchise","Bar & Grill","https://www.wingnit.ca","sourced-wing-n-it-restaurants","basic","ready","Already listed — upgrade outreach"
"Amore Pasta","Franchise Relations","info@amorepasta.ca","https://amorepasta.ca/franchise","Fast Food","https://amorepasta.ca","sourced-amore-pasta","basic","ready","Already listed — upgrade outreach"
"Qwench Juice Bar","Franchise Director","franchise@qwenchjuicebar.com","https://www.qwenchjuicebar.com/franchise","Healthy Eating","https://www.qwenchjuicebar.com","sourced-qwench-juice-bar","basic","ready","Already listed — upgrade outreach"
"Soccer iQ","Franchise Team","info@socceriq.ca","https://socceriq.ca/franchise","Sports & Recreation","https://socceriq.ca","sourced-soccer-iq","basic","ready","Already listed — upgrade outreach"
"Shotgun Golf","Franchise Relations","info@shotgungolf.ca","https://www.shotgungolf.ca/franchise","Sports & Recreation","https://www.shotgungolf.ca","sourced-shotgun-golf","basic","ready","Already listed — upgrade outreach"
"Leela Eco Spa","Franchise Director","info@leelaspa.ca","https://www.leelaspa.ca/franchise","Health & Medical","https://www.leelaspa.ca","sourced-leela-eco-spa","basic","ready","Already listed — upgrade outreach"
"Canada's Medical Clinic","Franchise Team","franchise@canadasmedical.ca","https://www.canadasmedical.ca/franchise","Health & Medical","https://www.canadasmedical.ca","sourced-canada-s-medical-clinic","basic","ready","Already listed — upgrade outreach"
"Duct Busters","Franchise Relations","franchise@hireductbusters.ca","https://hireductbusters.ca/franchise","Home Services","https://hireductbusters.ca","sourced-duct-busters","basic","ready","Already listed — upgrade outreach"
"Restore Canada","Franchise Director","info@restore-canada.com","https://restore-canada.com/franchise","Home Services","https://restore-canada.com","sourced-restore-canada-inc","basic","ready","Already listed — upgrade outreach"
"Maverick's Donuts","Franchise Team","franchise@mavericksdonuts.com","https://www.mavericksdonuts.com/franchise","Coffee & Café","https://www.mavericksdonuts.com","sourced-maverick-s-donuts","basic","ready","Already listed — upgrade outreach"
